task_id,time,predecessors
T1014,31,T0989
T1015,32,T0973
T1016,33,T0960|T0981
T1017,34,T0941|T0957|T0996
T1018,35,T0953|T0969|T0974
T1019,36,T0978|T1000
T1020,52,T0929|T0989
T1021,38,T0934
T1022,39,T0966
T1023,40,T0939|T0956
T1024,41,T0936|T0942
T1025,42,T0928
T1026,43,T0933|T0985
T1027,44,T0966|T0991|T0993
T1028,45,T0932|T0942
T1029,46,T0934
T1030,47,T0996
T1031,48,T0952|T0971|T0996
T1032,49,T0947|T0956|T0991
T1033,50,T0970|T0983|T0988
T1034,51,T0944|T0951|T0999
T1035,52,T0931
T1036,53,T0952|T0989|T0995
T1037,69,T0928|T0955|T0972
T1038,55,T0934|T0949|T0968
T1039,56,T0959|T0967
T1040,57,T0973|T0975
T1041,58,T0936|T0973
T1042,59,T1023|T1036|T1037
T1043,60,T1021|T1038
T1044,3,T1028
T1045,4,T0985|T1016
T1046,5,T0987|T1033
T1047,6,T0979|T0981|T1007
T1048,7,T0987|T1009
T1049,8,T0999
T1050,9,T0991
T1051,10,T0987
T1052,11,T0993|T1020|T1024
T1053,12,T0991|T1030|T1039
T1054,28,T0981
T1055,14,T1005|T1006|T1013
T1056,15,T1033
T1057,16,T1027
T1058,17,T0970|T0981|T0997
T1059,18,T0994|T1024|T1036
T1060,19,T0971|T0981|T0992
T1061,20,T0980|T1008|T1034
T1062,21,T1040
T1063,22,T0974
T1064,23,T1022|T1034
T1065,24,T1007|T1021
T1066,25,T1020
T1067,26,T1021|T1031
T1068,27,T0970|T1005|T1018
T1069,28,T0992|T1024
T1070,29,T1009|T1019
T1071,45,T0986|T1001|T1012
T1072,31,T1037|T1041
T1073,32,T0984|T0991|T0995
T1074,33,T0992|T1000|T1021
T1075,34,T0976
T1076,35,T1031
T1077,36,T1041
T1078,37,T1010|T1029|T1076
T1079,38,T1004|T1045|T1054
T1080,39,T1031|T1076
T1081,40,T1001|T1047|T1072
T1082,41,T1011|T1056
T1083,42,T1023|T1059
T1084,43,T1035|T1064|T1073
T1085,44,T1052
T1086,45,T1034|T1047
T1087,46,T1021
T1088,62,T1034|T1040
T1089,48,T1063
T1090,49,T1028|T1056
T1091,50,T1022|T1048
T1092,51,T1023|T1042
T1093,52,T1010
T1094,53,T1001
T1095,54,T1009|T1054|T1069
T1096,55,T1002|T1026
T1097,56,T1020|T1031|T1069
T1098,57,T1057
T1099,58,T1073
T1100,59,T1001|T1034
T1101,60,T1003|T1025|T1073
T1102,3,T1024|T1041|T1046
T1103,4,T1001|T1020|T1062
T1104,5,T1002|T1041|T1068
T1105,21,T1015|T1026|T1047
T1106,7,T1018|T1064
T1107,8,T1040|T1064|T1074
T1108,9,T1058
T1109,10,T1072
T1110,11,T1033|T1053|T1072
T1111,12,T1033
T1112,13,T1040|T1063|T1069
T1113,14,T1004|T1063
T1114,15,T1004|T1011|T1056
T1115,16,T1025|T1054|T1065
T1116,17,T1045
T1117,18,T1014|T1017
T1118,19,T1049|T1098|T1102
T1119,20,T1067
T1120,21,T1078
T1121,22,T1045|T1080|T1086
T1122,38,T1048|T1066
T1123,24,T1058
T1124,25,T1082|T1112
T1125,26,T1055|T1089|T1093
T1126,27,T1080|T1082|T1106
T1127,28,T1053|T1054|T1055
T1128,29,T1042|T1080|T1082
T1129,30,T1051|T1052|T1057
T1130,31,T1047|T1052
T1131,32,T1089|T1102
T1132,33,T1095
T1133,34,T1102
T1134,35,T1051
T1135,36,T1088
T1136,37,T1079|T1100|T1114
T1137,38,T1061
T1138,39,T1068
T1139,55,T1043|T1074
T1140,41,T1108|T1113|T1116
T1141,42,T1067|T1096
T1142,43,T1100
T1143,44,T1060|T1112
T1144,45,T1062|T1102
T1145,46,T1055
T1146,47,T1083
T1147,48,T1064|T1080|T1116
T1148,49,T1110
T1149,50,T1072
T1150,51,T1063|T1084
T1151,52,T1083|T1091
T1152,53,T1083|T1089|T1106
T1153,54,T1083|T1091
T1154,55,T1087
T1155,56,T1053|T1099
T1156,72,T1077|T1112
T1157,58,T1049
T1158,59,T1047|T1057
T1159,60,T1090|T1101|T1105
T1160,3,T1114|T1135|T1157
T1161,4,T1109|T1129
T1162,5,T1106|T1147
T1163,6,T1117
T1164,7,T1094
T1165,8,T1088
T1166,9,T1116
T1167,10,T1096
T1168,11,T1082
T1169,12,T1086
T1170,13,T1079|T1101|T1159
T1171,14,T1099|T1144
T1172,15,T1151
T1173,31,T1087|T1102
T1174,17,T1084|T1114
T1175,18,T1090|T1121|T1153
T1176,19,T1083|T1110|T1128
T1177,20,T1097|T1141
T1178,21,T1088
T1179,22,T1108|T1119
T1180,23,T1084|T1144
T1181,24,T1094|T1101|T1112
T1182,25,T1142
T1183,26,T1154
T1184,27,T1144
T1185,28,T1110|T1133|T1135
T1186,29,T1088
T1187,30,T1086
T1188,31,T1092|T1119
T1189,32,T1092|T1140
T1190,48,T1101|T1107
T1191,34,T1138
T1192,35,T1095|T1117
T1193,36,T1081|T1098
T1194,37,T1148|T1155
T1195,38,T1077|T1083|T1135
T1196,39,T1154|T1156
T1197,40,T1090|T1121|T1136
T1198,41,T1079|T1136|T1149
T1199,42,T1164
T1200,43,T1141|T1185
T1201,44,T1126|T1143|T1160
T1202,45,T1140
T1203,46,T1128|T1138|T1157
T1204,47,T1128|T1157|T1173
T1205,48,T1126|T1147
T1206,49,T1139|T1158|T1165
T1207,65,T1125|T1144|T1169
T1208,51,T1184
T1209,52,T1169
T1210,53,T1171
T1211,54,T1175
T1212,55,T1182|T1195
T1213,56,T1126|T1193
T1214,57,T1177|T1188
T1215,58,T1165
T1216,59,T1136|T1152
T1217,60,T1140
T1218,3,T1133|T1142|T1161
T1219,4,T1121|T1141|T1173
T1220,5,T1118|T1162
T1221,6,T1193
T1222,7,T1177
T1223,8,T1120|T1131
T1224,24,T1140
T1225,10,T1142|T1181
T1226,11,T1139|T1193
T1227,12,T1131
T1228,13,T1141|T1146|T1189
T1229,14,T1152|T1166|T1176
T1230,15,T1141
T1231,16,T1129|T1135
T1232,17,T1135
T1233,18,T1187
T1234,19,T1142|T1155
T1235,20,T1182
T1236,21,T1166|T1196
T1237,22,T1172|T1178|T1200
T1238,23,T1175
T1239,24,T1204
T1240,25,T1180|T1217|T1232
T1241,41,T1164|T1177
T1242,27,T1162|T1212|T1220
T1243,28,T1164
T1244,29,T1172
T1245,30,T1171|T1234
T1246,31,T1167|T1172|T1202
T1247,32,T1219
T1248,33,T1160|T1162
T1249,34,T1167|T1178|T1188
T1250,35,T1166|T1204|T1231
T1251,36,T1183
T1252,37,T1195|T1207|T1228
T1253,38,T1194|T1206
T1254,39,T1217
T1255,40,T1170|T1206|T1229
T1256,41,T1174|T1230
T1257,42,T1176|T1177|T1224
T1258,58,T1204
T1259,44,T1205
T1260,45,T1185|T1215
T1261,46,T1212
T1262,47,T1164|T1165|T1178
T1263,48,T1162|T1183
T1264,49,T1168|T1172|T1232
T1265,50,T1176
T1266,51,T1163|T1189|T1207
T1267,52,T1161
T1268,53,T1168|T1177|T1228
T1269,54,T1178|T1188|T1220
T1270,55,T1206|T1233
T1271,56,T1199|T1234|T1251
T1272,57,T1228
T1273,58,T1267
T1274,59,T1234|T1237|T1251
T1275,75,T1201|T1239
T1276,3,T1209
T1277,4,T1205|T1247|T1261
T1278,5,T1224|T1246
T1279,6,T1232|T1269
T1280,7,T1245|T1267
T1281,8,T1212
T1282,9,T1201|T1252|T1259
T1283,10,T1208|T1255
T1284,11,T1260
T1285,12,T1218|T1222
T1286,13,T1237|T1246
T1287,14,T1245|T1261
T1288,15,T1201
T1289,16,T1237|T1263
T1290,17,T1203|T1207
T1291,18,T1234
T1292,34,T1220|T1222|T1241
T1293,20,T1208|T1264
T1294,21,T1233
T1295,22,T1229|T1255|T1266
T1296,23,T1242|T1250
T1297,24,T1224|T1256
T1298,25,T1247
T1299,26,T1235|T1261
T1300,27,T1229|T1231|T1258
T1301,28,T1209|T1228|T1268
T1302,29,T1269
T1303,30,T1199|T1237
T1304,31,T1207|T1212|T1227
T1305,32,T1232
T1306,33,T1241|T1244
T1307,34,T1203|T1210|T1225
T1308,35,T1222
T1309,51,T1230|T1246|T1268
T1310,37,T1232|T1260
T1311,38,T1242
T1312,39,T1230
T1313,40,T1216|T1228|T1229
T1314,41,T1210|T1253
T1315,42,T1265
T1316,43,T1213|T1219|T1260
T1317,44,T1215
T1318,45,T1249|T1302
T1319,46,T1277|T1294
T1320,47,T1239|T1248|T1249
T1321,48,T1264|T1293|T1304
T1322,49,T1257|T1298|T1311
T1323,50,T1303
T1324,51,T1302
T1325,52,T1250|T1295|T1307
T1326,68,T1268
T1327,54,T1291
T1328,55,T1256|T1279|T1308
T1329,56,T1252|T1268|T1271
T1330,57,T1245
T1331,58,T1276
T1332,59,T1250|T1315
T1333,60,T1239|T1248|T1250
T1334,3,T1260|T1267|T1294
T1335,4,T1241
T1336,5,T1249|T1253|T1265
T1337,6,T1237|T1248|T1269
T1338,7,T1265|T1280|T1283
T1339,8,T1249|T1260|T1309
T1340,9,T1246|T1270
T1341,10,T1246
T1342,11,T1251
T1343,27,T1264|T1290
T1344,13,T1315
T1345,14,T1239
T1346,15,T1253|T1292|T1301
T1347,16,T1258|T1293|T1294
T1348,17,T1272
T1349,18,T1309
T1350,19,T1280
T1351,20,T1265
T1352,21,T1240|T1298|T1316
T1353,22,T1248|T1279
T1354,23,T1241|T1253|T1291
T1355,24,T1243|T1284|T1290
T1356,25,T1288|T1310
T1357,26,T1316
T1358,27,T1350
T1359,28,T1312|T1334
T1360,44,T1286|T1323
T1361,30,T1282|T1340|T1350
T1362,31,T1278
T1363,32,T1275|T1280
T1364,33,T1274|T1293
T1365,34,T1332|T1351|T1356
T1366,35,T1343|T1348
T1367,36,T1299|T1341
T1368,37,T1279|T1306|T1318
T1369,38,T1307|T1319
T1370,39,T1326
T1371,40,T1334
T1372,41,T1302|T1310|T1347
T1373,42,T1300|T1310
T1374,43,T1290|T1298|T1346
T1375,44,T1283
T1376,45,T1326
T1377,61,T1278|T1353
T1378,47,T1325|T1330|T1350
T1379,48,T1284|T1296|T1347
T1380,49,T1283|T1323
T1381,50,T1278|T1321
T1382,51,T1344
T1383,52,T1328|T1355
T1384,53,T1341
T1385,54,T1281
T1386,55,T1355
T1387,56,T1328
T1388,57,T1326
T1389,58,T1292|T1303
T1390,59,T1305
T1391,60,T1284|T1322|T1328
T1392,3,T1304|T1356
T1393,4,T1344|T1352|T1356
T1394,20,T1274|T1279|T1348
T1395,6,T1271|T1343|T1351
T1396,7,T1301|T1328|T1354
T1397,8,T1341|T1355|T1361
T1398,9,T1332
T1399,10,T1348|T1349|T1388
T1400,11,T1347|T1359|T1395
T1401,12,T1373
T1402,13,T1388
T1403,14,T1376|T1387
T1404,15,T1329|T1335|T1347
T1405,16,T1361
T1406,17,T1344
T1407,18,T1351|T1354|T1389
T1408,19,T1338|T1357|T1395
T1409,20,T1324|T1347
T1410,21,T1323|T1355|T1360
T1411,37,T1337|T1359
T1412,23,T1319|T1369|T1391
T1413,24,T1342|T1379
T1414,25,T1345|T1352|T1384
T1415,26,T1347
T1416,27,T1324|T1359|T1371
T1417,28,T1357|T1382
T1418,29,T1336|T1343|T1361
T1419,30,T1377
T1420,31,T1345
T1421,32,T1321|T1335|T1390
T1422,33,T1349|T1395
T1423,34,T1379|T1389
T1424,35,T1343
T1425,36,T1327|T1357|T1377
T1426,37,T1347|T1351|T1379
T1427,38,T1372
T1428,54,T1359|T1395
T1429,40,T1370|T1389|T1411
T1430,41,T1361
T1431,42,T1366|T1400
T1432,43,T1362|T1372
T1433,44,T1358|T1382
T1434,45,T1405
T1435,46,T1404
T1436,47,T1394|T1419
T1437,48,T1362|T1385|T1397
T1438,49,T1360|T1416|T1417
T1439,50,T1360|T1372|T1384
T1440,51,T1358|T1380|T1410
T1441,52,T1375|T1405|T1406
T1442,53,T1375|T1379|T1387
T1443,54,T1365
T1444,55,T1385|T1421
T1445,71,T1385
T1446,57,T1357|T1358|T1417
T1447,58,T1367|T1417
T1448,59,T1407
T1449,60,T1392|T1393
T1450,3,T1361|T1365|T1392
T1451,4,T1358|T1370|T1409
T1452,5,T1391|T1420
T1453,6,T1386
T1454,7,T1389|T1421|T1426
T1455,8,T1391|T1395|T1426
T1456,9,T1389|T1399|T1425
T1457,10,T1388|T1390
T1458,11,T1397
T1459,12,T1385|T1398|T1415
T1460,13,T1360|T1361|T1368
T1461,14,T1363|T1368|T1390
T1462,30,T1413
T1463,16,T1377|T1389|T1393
T1464,17,T1395|T1407|T1418
T1465,18,T1404|T1406|T1409
T1466,19,T1367|T1398
T1467,20,T1402|T1408|T1438
T1468,21,T1412|T1436|T1457
T1469,22,T1464
T1470,23,T1409|T1452
T1471,24,T1450|T1466
T1472,25,T1444
T1473,26,T1431|T1440
T1474,27,T1409|T1433|T1435
T1475,28,T1411|T1456
T1476,29,T1428|T1430|T1431
T1477,30,T1413|T1418|T1427
T1478,31,T1407|T1410
T1479,47,T1407
T1480,33,T1401|T1427|T1461
T1481,34,T1432
T1482,35,T1409|T1422|T1463
T1483,36,T1412|T1450|T1456
T1484,37,T1418|T1446|T1452
T1485,38,T1414|T1418|T1463
T1486,39,T1414|T1450
T1487,40,T1459
T1488,41,T1400|T1409|T1437
T1489,42,T1428|T1430|T1448
T1490,43,T1414|T1439|T1450
T1491,44,T1426
T1492,45,T1431|T1449|T1461
T1493,46,T1419|T1436|T1440
T1494,47,T1418|T1426|T1460
T1495,48,T1465
T1496,64,T1455|T1461|T1465
T1497,50,T1446
T1498,51,T1449|T1486
T1499,52,T1440
T1500,53,T1446
T1501,54,T1444
T1502,55,T1456|T1481
T1503,56,T1441
T1504,57,T1467|T1486
T1505,58,T1454|T1470|T1488
T1506,59,T1463|T1464|T1495
T1507,60,T1435|T1443|T1451
T1508,3,T1462|T1468
T1509,4,T1445|T1446
T1510,5,T1432|T1433|T1437
T1511,6,T1454|T1492
T1512,7,T1436|T1453|T1479
T1513,23,T1440|T1490
T1514,9,T1437
T1515,10,T1435|T1446
T1516,11,T1440|T1473
T1517,12,T1436|T1443
T1518,13,T1492
T1519,14,T1467|T1473
T1520,15,T1455
T1521,16,T1473|T1491
T1522,17,T1445|T1493
T1523,18,T1438|T1451|T1483
T1524,19,T1464
T1525,20,T1440
T1526,21,T1466
T1527,22,T1447|T1476|T1489
T1528,23,T1460|T1464|T1478
T1529,24,T1494|T1528
T1530,40,T1490|T1519
T1531,26,T1473
T1532,27,T1480|T1485
T1533,28,T1467|T1512
T1534,29,T1519
T1535,30,T1492|T1498|T1515
T1536,31,T1526
T1537,32,T1479|T1484
T1538,33,T1516
T1539,34,T1469|T1506
T1540,35,T1471|T1479
T1541,36,T1497
T1542,37,T1471|T1473|T1525
T1543,38,T1481
T1544,39,T1489|T1503
T1545,40,T1524
T1546,41,T1506|T1508
T1547,57,T1482
T1548,43,T1483
T1549,44,T1477
T1550,45,T1491|T1495
T1551,46,T1472
T1552,47,T1487
T1553,48,T1476|T1489|T1515
T1554,49,T1471|T1504|T1528
T1555,50,T1471|T1472|T1526
T1556,51,T1487|T1503|T1511
T1557,52,T1484|T1498|T1508
T1558,53,T1499
T1559,54,T1493|T1504|T1510
T1560,55,T1495|T1509
T1561,56,T1491
T1562,57,T1472|T1520|T1524
T1563,58,T1479|T1493|T1497
T1564,74,T1494|T1513
T1565,60,T1482|T1514
T1566,3,T1473|T1505|T1515
T1567,4,T1504|T1528
T1568,5,T1516|T1526|T1549
T1569,6,T1559
T1570,7,T1507|T1512|T1535
T1571,8,T1513
T1572,9,T1536|T1546
T1573,10,T1506|T1564
T1574,11,T1516|T1541|T1562
T1575,12,T1523|T1552|T1565
T1576,13,T1531
T1577,14,T1506
T1578,15,T1558|T1563
T1579,16,T1501|T1531|T1544
T1580,17,T1545
T1581,33,T1509|T1522|T1555
T1582,19,T1512|T1554
T1583,20,T1539
T1584,21,T1501|T1506|T1511
T1585,22,T1508|T1522|T1558
T1586,23,T1549
T1587,24,T1537|T1538|T1564
T1588,25,T1560
T1589,26,T1504|T1524|T1539
T1590,27,T1556|T1560
T1591,28,T1497|T1516|T1526
T1592,29,T1525|T1528
T1593,30,T1546
T1594,31,T1531|T1567
T1595,32,T1538|T1550|T1556
T1596,33,T1522|T1532
T1597,34,T1556
T1598,50,T1555
T1599,36,T1515|T1555
T1600,37,T1497|T1520|T1558
T1601,38,T1497|T1520|T1556
T1602,39,T1536
T1603,40,T1512|T1548|T1565
T1604,41,T1554
T1605,42,T1546|T1564
T1606,43,T1553|T1564|T1573
T1607,44,T1552|T1576|T1593
T1608,45,T1550
T1609,46,T1588|T1598
T1610,47,T1559|T1571|T1597
T1611,48,T1542|T1604
T1612,49,T1566|T1594
T1613,50,T1561|T1602
T1614,51,T1578
T1615,67,T1538|T1543
T1616,53,T1541|T1581
T1617,54,T1530|T1562|T1599
T1618,55,T1529|T1532|T1577
T1619,56,T1537|T1549
T1620,57,T1532
T1621,58,T1530|T1567
T1622,59,T1560
T1623,60,T1555|T1573
T1624,3,T1529|T1553
T1625,4,T1559|T1585|T1587
T1626,5,T1554|T1602
T1627,6,T1599|T1600
T1628,7,T1540|T1550|T1576
T1629,8,T1566|T1578|T1582
T1630,9,T1531|T1586
T1631,10,T1534
T1632,26,T1564
T1633,12,T1555
T1634,13,T1583|T1603
T1635,14,T1598
T1636,15,T1579|T1618|T1624
T1637,16,T1591|T1634
T1638,17,T1610|T1617
T1639,18,T1585|T1619|T1625
T1640,19,T1599
T1641,20,T1577|T1579|T1634
T1642,21,T1569|T1609|T1624
T1643,22,T1623|T1634
T1644,23,T1592|T1624
T1645,24,T1576|T1608
T1646,25,T1603|T1612
T1647,26,T1615|T1631
T1648,27,T1580|T1627
T1649,43,T1581|T1597|T1622
T1650,29,T1572|T1576|T1596
T1651,30,T1571|T1584
T1652,31,T1592|T1618
T1653,32,T1578|T1607|T1617
T1654,33,T1578|T1584|T1619
T1655,34,T1575|T1585
T1656,35,T1596|T1603|T1630
T1657,36,T1614|T1624
T1658,37,T1572|T1587
T1659,38,T1571|T1573|T1578
T1660,39,T1573|T1591
T1661,40,T1588|T1590
T1662,41,T1590
T1663,42,T1584|T1608|T1610
T1664,43,T1612
T1665,44,T1576
T1666,60,T1616
T1667,46,T1572|T1586|T1593
T1668,47,T1621|T1627
T1669,48,T1568|T1609
T1670,49,T1612|T1614
T1671,50,T1601|T1621|T1630
T1672,51,T1587|T1602
T1673,52,T1572|T1599|T1627
T1674,53,T1592|T1598|T1617
T1675,54,T1586|T1617|T1632
T1676,55,T1617
T1677,56,T1630|T1640
T1678,57,T1636|T1637
T1679,58,T1623|T1671
T1680,59,T1609|T1667|T1672
T1681,60,T1646
T1682,3,T1635|T1656|T1667
T1683,19,T1625|T1633|T1647
T1684,5,T1607|T1641|T1647
T1685,6,T1608|T1617
T1686,7,T1617
T1687,8,T1667|T1669
T1688,9,T1606|T1664
T1689,10,T1671
T1690,11,T1614|T1660|T1665
T1691,12,T1606|T1646|T1665
T1692,13,T1636|T1663
T1693,14,T1636
T1694,15,T1649|T1664
T1695,16,T1622
T1696,17,T1643|T1656|T1676
T1697,18,T1623
T1698,19,T1645
T1699,20,T1610|T1653|T1664
T1700,36,T1605|T1618|T1649
T1701,22,T1608|T1637|T1643
T1702,23,T1633
T1703,24,T1611|T1633|T1639
T1704,25,T1612
T1705,26,T1615
T1706,27,T1628
T1707,28,T1645|T1658|T1673
T1708,29,T1637
T1709,30,T1641
T1710,31,T1705
T1711,32,T1669|T1699
T1712,33,T1663|T1664
T1713,34,T1643|T1657|T1684
T1714,35,T1687
T1715,36,T1705
T1716,37,T1653|T1674
T1717,53,T1641|T1652
T1718,39,T1652|T1680
T1719,40,T1647|T1650
T1720,41,T1667|T1695
T1721,42,T1680|T1686|T1708
T1722,43,T1650
T1723,44,T1643|T1689
T1724,45,T1681|T1683|T1686
T1725,46,T1642|T1691|T1694
T1726,47,T1689
T1727,48,T1651|T1703
T1728,49,T1688
T1729,50,T1687|T1695
T1730,51,T1638|T1704
T1731,52,T1696
T1732,53,T1640|T1667
T1733,54,T1636
T1734,70,T1639|T1663|T1702
T1735,56,T1671|T1706
T1736,57,T1704
T1737,58,T1673|T1677
T1738,59,T1641|T1681|T1686
T1739,60,T1652|T1677|T1701
T1740,3,T1638|T1639|T1650
T1741,4,T1680
T1742,5,T1662|T1676|T1701
T1743,6,T1642|T1670
T1744,7,T1652
T1745,8,T1692|T1706|T1708
T1746,9,T1638|T1663|T1690
T1747,10,T1692
T1748,11,T1641
T1749,12,T1698
T1750,13,T1701
T1751,29,T1696|T1723
T1752,15,T1685|T1711
T1753,16,T1686|T1689|T1695
T1754,17,T1695|T1734
T1755,18,T1686|T1723
T1756,19,T1684
T1757,20,T1692
T1758,21,T1683|T1690|T1699
T1759,22,T1691|T1723
T1760,23,T1717|T1739
T1761,24,T1714|T1737
T1762,25,T1685|T1695|T1703
T1763,26,T1737
T1764,27,T1686|T1704|T1736
T1765,28,T1711|T1715|T1721
T1766,29,T1696|T1708|T1736
T1767,30,T1688|T1701|T1748
T1768,46,T1681|T1748
T1769,32,T1678|T1738
T1770,33,T1711|T1750
T1771,34,T1706|T1742
T1772,35,T1711
T1773,36,T1689|T1705|T1730
T1774,37,T1711|T1718
T1775,38,T1712|T1713
T1776,39,T1749
T1777,40,T1692|T1732
T1778,41,T1684|T1744
T1779,42,T1723|T1750
T1780,43,T1684|T1698
T1781,44,T1682|T1692
T1782,45,T1680|T1702
T1783,46,T1745
T1784,47,T1717|T1719|T1723
T1785,63,T1728
T1786,49,T1713|T1733|T1775
T1787,50,T1725|T1756|T1758
T1788,51,T1712|T1740|T1762
T1789,52,T1735|T1758
T1790,53,T1713|T1749
T1791,54,T1713
T1792,55,T1777
T1793,56,T1737|T1763|T1773
T1794,57,T1723|T1761
T1795,58,T1739|T1753|T1773
T1796,59,T1723
T1797,60,T1744|T1750
T1798,3,T1738|T1750|T1762
T1799,4,T1724|T1734|T1755
T1800,5,T1751|T1761
T1801,6,T1764|T1775
T1802,22,T1717|T1761|T1767
T1803,8,T1723|T1729|T1763
T1804,9,T1736|T1740|T1762
T1805,10,T1719|T1736
T1806,11,T1755
T1807,12,T1714|T1727|T1739
T1808,13,T1710|T1780
T1809,14,T1716
T1810,15,T1760
T1811,16,T1756|T1772
T1812,17,T1714|T1763|T1771
T1813,18,T1768
T1814,19,T1711|T1724|T1759
T1815,20,T1755
T1816,21,T1769
T1817,22,T1716|T1746
T1818,23,T1747|T1763|T1773
T1819,39,T1742|T1748
T1820,25,T1711
T1821,26,T1768
T1822,27,T1736|T1747
T1823,28,T1771|T1779
T1824,29,T1720|T1739|T1757
T1825,30,T1734|T1739
T1826,31,T1718|T1726|T1774
T1827,32,T1756
T1828,33,T1756
T1829,34,T1732|T1733
T1830,35,T1721|T1728
T1831,36,T1773|T1784|T1809
T1832,37,T1793|T1797
T1833,38,T1784
T1834,39,T1753|T1763|T1825
T1835,40,T1767
T1836,56,T1767|T1793|T1796
T1837,42,T1758|T1780
T1838,43,T1754
T1839,44,T1793|T1812
T1840,45,T1787|T1828
T1841,46,T1796|T1826
T1842,47,T1778
T1843,48,T1770|T1804
T1844,49,T1782|T1784
T1845,50,T1798|T1820
T1846,51,T1788
T1847,52,T1796|T1821|T1824
T1848,53,T1797
T1849,54,T1785|T1818|T1829
T1850,55,T1807
T1851,56,T1752|T1785|T1788
T1852,57,T1803
T1853,73,T1778|T1801|T1822
T1854,59,T1770|T1790|T1811
T1855,60,T1813|T1817
T1856,3,T1770|T1801
T1857,4,T1794
T1858,5,T1757
T1859,6,T1763|T1766|T1798
T1860,7,T1781|T1818
T1861,8,T1796
T1862,9,T1756|T1787|T1824
T1863,10,T1754|T1824
T1864,11,T1751|T1772|T1786
T1865,12,T1785|T1792
T1866,13,T1770|T1789|T1801
T1867,14,T1766|T1767|T1824
T1868,15,T1779|T1800
T1869,16,T1809
T1870,32,T1768|T1818|T1827
T1871,18,T1784
T1872,19,T1773|T1807|T1810
T1873,20,T1820
T1874,21,T1782
T1875,22,T1786|T1827
T1876,23,T1841|T1846
T1877,24,T1836|T1842
T1878,25,T1828
T1879,26,T1835
T1880,27,T1811
T1881,28,T1807
T1882,29,T1841
T1883,30,T1806|T1822
T1884,31,T1807|T1834
T1885,32,T1846|T1853|T1857
T1886,33,T1805
T1887,49,T1835
T1888,35,T1791
T1889,36,T1810|T1864
T1890,37,T1804|T1840|T1851
T1891,38,T1806|T1820|T1863
T1892,39,T1794|T1803|T1837
T1893,40,T1828
T1894,41,T1799|T1852
T1895,42,T1860|T1871
T1896,43,T1796|T1832|T1844
T1897,44,T1875
T1898,45,T1814|T1819|T1820
T1899,46,T1861|T1875
T1900,47,T1830|T1845|T1858
T1901,48,T1819|T1825|T1833
T1902,49,T1831
T1903,50,T1800|T1835|T1844
T1904,66,T1787|T1795
T1905,52,T1856
T1906,53,T1790|T1829
T1907,54,T1808|T1818|T1862
T1908,55,T1856
T1909,56,T1803|T1872
T1910,57,T1843
T1911,58,T1801
T1912,59,T1813|T1835
T1913,60,T1797|T1835
T1914,3,T1784|T1791|T1825
T1915,4,T1803
T1916,5,T1801|T1819
T1917,6,T1858|T1875
T1918,7,T1794|T1837
T1919,8,T1848
T1920,9,T1783|T1828|T1854
T1921,25,T1844
T1922,11,T1859
T1923,12,T1807|T1814|T1851
T1924,13,T1823
T1925,14,T1890
T1926,15,T1877
T1927,16,T1898|T1919
T1928,17,T1833|T1905
T1929,18,T1845|T1891
T1930,19,T1902
T1931,20,T1883
T1932,21,T1864|T1874|T1909
T1933,22,T1872
T1934,23,T1850|T1895
T1935,24,T1855|T1907|T1921
T1936,25,T1837
T1937,26,T1910
T1938,42,T1842|T1891
T1939,28,T1888|T1895|T1908
T1940,29,T1861
T1941,30,T1837
T1942,31,T1843|T1881|T1886
T1943,32,T1902
T1944,33,T1840|T1924
T1945,34,T1838|T1877|T1915
T1946,35,T1839|T1871|T1885
T1947,36,T1843|T1905
T1948,37,T1878|T1885|T1902
T1949,38,T1845
T1950,39,T1834|T1858|T1867
T1951,40,T1905|T1915|T1916
T1952,41,T1922
T1953,42,T1924
T1954,43,T1864|T1923
T1955,59,T1859|T1891
T1956,45,T1850|T1905
T1957,46,T1943
T1958,47,T1914
T1959,48,T1900|T1906
T1960,49,T1890|T1936
T1961,50,T1886|T1901|T1951
T1962,51,T1894|T1897|T1942
T1963,52,T1881
T1964,53,T1944
T1965,54,T1885|T1905|T1908
T1966,55,T1879|T1934
T1967,56,T1928|T1954
T1968,57,T1890|T1955|T1956
T1969,58,T1930
T1970,59,T1909
T1971,60,T1927|T1948
T1972,18,T1896|T1901|T1928
T1973,4,T1878|T1933
T1974,5,T1941
T1975,6,T1881
T1976,7,T1897|T1900|T1912
T1977,8,T1938|T1949
T1978,9,T1924|T1948
T1979,10,T1884|T1931|T1945
T1980,11,T1915|T1939
T1981,12,T1887|T1915|T1947
T1982,13,T1911|T1926|T1954
T1983,14,T1890
T1984,15,T1901|T1932
T1985,16,T1905
T1986,17,T1882|T1904|T1922
T1987,18,T1898
T1988,19,T1910|T1914|T1952
T1989,35,T1879|T1938
T1990,21,T1890|T1935|T1942
T1991,22,T1903
T1992,23,T1884|T1911
T1993,24,T1931|T1961
T1994,25,T1955
T1995,26,T1959|T1992
T1996,27,T1931|T1958|T1962
T1997,28,T1932|T1956
T1998,29,T1963|T1969
T1999,30,T1991
T2000,31,T1965
